20.0,10.0,0.0002504966667,2.43e-06,0,0.0002370995795,7.53e-06,0.0001934469927092485,3.4524579805326385e-06,0.000132044534899,2.939255572020373e-06
15.0,7.5,0.0002606233333,5.92e-06,0,0.000237946956,1.18e-05,0.00018811564158201753,6.205983588412251e-06,0.0001282962891533,2.3701994300003e-06
10.0,5.0,0.0002757,3.26e-06,0,0.0002393199205,6.1e-06,0.00017608567812125607,6.972824771888115e-06,0.0001288366438815,2.5844348325561156e-06
7.5,3.75,0.0002732866667,1.66e-06,0,0.0002413455382,1.24e-05,0.0001693505955650208,1.1503727999621501e-05,0.0001203316390887,3.263822434252566e-06
5.0,2.5,0.0002605633333,2.67e-06,0,0.0002242890948,1.32e-05,0.00014177389716839444,1.535465066671787e-05,0.0001011118317233,8.302956133104727e-06
4.0,2.0,0.0002362333333,1.06e-05,0,0.0002058101811,5.96e-06,0.00012716422366896454,1.1447364040346273e-05,8.213615156297273e-05,2.8782631065451595e-06
2.5,1.25,0.00020318,7.17e-06,0,0.0001697467607,2.98e-06,8.665473772706868e-05,6.1956729857434954e-06,5.867761117094904e-05,7.134712230124809e-08
1.25,0.625,0.0001322466667,3.22e-06,0,0.0001144436854,3.85e-06,5.512436947314078e-05,3.089933628368306e-06,3.018841291644397e-05,9.10899079640015e-07
0.25,0.125,5.09e-05,6.2e-07,0,3.42e-05,7.44e-07,1.3199987748351425e-05,4.6334265589533316e-07,7.48383855707209e-06,4.930618220610597e-07
0.0,0.0,9.33e-08,4.48e-08,0,6.85e-08,1.19e-07,1.4960234211551292e-07,1.296027138089076e-07,4.391312529759095e-08,7.605976413456292e-08
